id,name,mainFood,subFood,skill,taste,difficulty
0,茄子饼,"[茄子,小麦面粉]","[盐,猪肉,鸡蛋,胡萝卜,白糖,胡椒粉,花生油]",煎,家常味,未知
1,土豆炒牛肉,"[土豆,牛肉]","[酱油,红薯,盐,花生油]",炒,家常味,未知
2,凉拌黄瓜,[黄瓜],"[洋葱,辣椒油,黑木耳,花生,香菜,大蒜,盐,白糖,醋]",拌,咸鲜味,未知
3,香辣西芹鱿鱼圈,"[鱿鱼,西芹]","[花生油,盐,料酒,洋葱,小葱,大蒜]",炒,香辣味,未知
4,葱爆羊肉,"[羊肉,大葱]","[鸡精,孜然,胡椒粉,酱油,料酒,盐,白糖,醋,花生油]",炒,咸鲜味,初中水平
5,醋溜白菜,[白菜],"[大葱,花生油,盐,醋,白糖]",炒,家常味,新手尝试
6,爽口凉拌菜,"[黄瓜,豆腐皮,花生]","[辣椒粉,大葱,大蒜,芝麻,香菜,白糖,醋,盐]",拌,咸鲜味,新手尝试
7,大蒜泥拍黄瓜,"[黄瓜,大蒜]","[盐,鸡精,白糖,胡萝卜]",拌,咸鲜味,未知
8,烧茄子,[茄子],"[花生油,淀粉,盐,大蒜,白糖,花椒,大葱,生姜,酱油]",炒,家常味,中级掌勺
9,肉骨茶,"[排骨,油菜,香菇]","[盐,桂皮,丁香,胡椒,枸杞子,八角,桂圆,甘草,大蒜,花生油]",煮,咸鲜味,初中水平
10,老虎菜,"[香菜,青椒]","[芝麻油,大蒜,盐,醋,大葱,花生油]",拌,酸辣味,新手尝试
11,银鱼炒蛋,"[鸡蛋,银鱼]","[大葱,盐,花生油]",炒,家常味,新手尝试
12,灯影牛肉丝,[牛肉],"[辣椒油,盐,白糖,生姜,花椒,辣椒粉,干辣椒,花生油,酱油,青椒,大蒜]",炒,麻辣味,初级入门
13,生炒仔姜鸡块,"[鸡肉,生姜]","[花椒,白糖,盐,生姜,料酒,花生油,大葱,辣椒]",炒,香辣味,初中水平
14,洋葱炒鸡蛋,"[洋葱,鸡蛋]","[盐,鸡精,花生油,生姜,酱油,大蒜]",炒,家常味,初中水平
15,牛奶八宝饭,"[葡萄干,杏仁,红枣,枸杞子,桂圆,糯米,牛奶]",[白糖],煮,甜味,新手尝试
16,山药木耳荷兰豆,"[荷兰豆,黑木耳,山药]","[花生油,盐,生姜]",炒,家常味,未知
17,大蒜香生菜,[生菜],"[淀粉,盐,花生油,大蒜,大葱]",炒,咸鲜味,未知
18,香辣啤酒鸡胗,"[鸡胗,啤酒]","[花生油,辣椒,盐,花椒,生姜,大蒜,大葱]",炒,香辣味,中级掌勺
19,丝瓜炒海虹,"[丝瓜,海虹]","[生姜,辣椒,大蒜,盐,花生油,鸡精,料酒]",炒,咸鲜味,初级入门
20,大蒜子肉末茄子煲,"[茄子,猪肉,大蒜]","[花生油,大葱,白糖,盐,青椒]",烧,咸鲜味,新手尝试
21,爆炒豆芽,[黄豆芽],"[干辣椒,大蒜,盐,醋,花生油,香菜,辣椒]",炒,家常味,未知
22,家常麻婆豆腐,[豆腐],"[辣椒,猪肉,豆瓣酱,白糖,大葱,酱油,大蒜,胡椒粉,花生油,生姜,盐,淀粉]",炒,麻辣味,未知
23,干贝蒸冬瓜,"[干贝,冬瓜]","[盐,淀粉,大葱]",蒸,咸鲜味,未知
24,腊肉炒芹菜,"[芹菜,腊肉]","[花生油,生姜,大蒜,盐,花椒,醋]",炒,咸鲜味,新手尝试
25,红烧猪蹄,[猪蹄],"[花生油,生姜,大蒜,八角,花椒,桂皮,辣椒,料酒,冰糖,盐,鸡精,酱油,豆瓣酱]",炒,家常味,新手尝试
26,青椒小炒肉,"[青椒,猪肉]","[花生油,盐,料酒,淀粉,大蒜,白糖]",炒,咸鲜味,新手尝试
27,韭菜炒鸡蛋,"[韭菜,鸡蛋]","[花生油,小葱,盐,鸡精]",炒,家常味,新手尝试
28,自制贡丸,[猪肉],"[胡椒粉,大葱,白糖,盐]",煮,家常味,初级入门
29,肉丸培根炒面,"[培根,面条,肉丸]","[花生油,洋葱,包菜,盐]",炒,家常味,未知
30,盐焗蛏子,"[蛏子,盐]","[花椒,八角,香叶,茴香,大葱]",微波,咸鲜味,初级入门
31,金针菇蒸鸡翅,"[金针菇,鸡翅]","[料酒,盐,生姜,淀粉,小葱,辣椒]",蒸,家常味,初级入门
32,清蒸鲈鱼,[鲈鱼],"[香菜,小葱,生姜,花椒,盐,料酒,花生油,酱油,辣椒,大蒜]",蒸,咸鲜味,未知
33,凉拌豆腐丝,[豆腐皮],"[醋,黄瓜,胡萝卜,香菜,辣椒油,盐,花椒,大蒜,酱油,白糖]",拌,香辣味,未知
34,炖鱼,[青鱼],"[花生油,大葱,芹菜,盐,白糖,八角,辣椒,小葱,生姜,大蒜,桂皮]",炖,香辣味,未知
35,烤鹌鹑,[鹌鹑],"[酱油,料酒,辣椒粉,孜然,白糖,盐,花生油,蜂蜜,大葱,大蒜]",烤,大蒜香味,初级入门
36,辣子鸡,[鸡肉],"[花生油,白糖,辣椒,花生,干辣椒,大蒜,生姜,孜然,花椒,鸡精,大葱,料酒,盐]",爆炒,香辣味,新手尝试
37,鱼香肉末烘蛋,"[猪肉,香菇,鸡蛋]","[酱油,黑木耳,醋,料酒,花生油,胡椒粉,白糖,生姜,淀粉,大葱,辣椒,盐]",炒,家常味,新手尝试
38,鱼头泡饼,"[鱼头,小麦面粉]","[花生油,大葱,香菜,鸡精,大蒜,干辣椒,料酒,白糖,豆瓣酱,盐]",炖,咸鲜味,未知
39,四季豆炒扇贝肉,"[四季豆,扇贝]","[盐,白糖,花椒,花生油,大蒜,小葱,料酒,淀粉]",炒,咸鲜味,未知
40,口水鸡,[鸡肉],"[花生油,盐,白糖,醋,料酒,辣椒油,黑芝麻,花生,大葱,生姜,大蒜,花椒]",煮,家常味,中级掌勺
41,绿豆芽炒韭菜,"[韭菜,绿豆芽]","[花生油,花椒,盐,大蒜,醋,干辣椒,白糖,味精]",炒,家常味,新手尝试
42,家常回锅肉,"[猪肉,豆腐]","[花生油,料酒,白糖,豆瓣酱,盐,生姜,大蒜,大葱,洋葱,辣椒]",炒,家常味,新手尝试
43,丝瓜炒肉片,"[丝瓜,猪肉]","[生姜,大蒜,盐,花生油,白糖,大葱]",炒,家常味,新手尝试
44,三鲜大馄饨,"[猪肉,虾仁,鸡蛋,紫菜,虾皮]","[生姜,大葱,酱油,花生油,胡椒粉,料酒,盐,白糖,鸡精]",煮,咸鲜味,中级掌勺
45,干煸四季豆,[四季豆],"[盐,猪肉,花生油,干辣椒,白糖,酱油,花椒,料酒,大蒜]",干煸,家常味,新手尝试
46,腊肉煲仔饭,"[大米,腊肉]","[花生油,西兰花,油菜,胡萝卜,白糖,盐,酱油,蚝油]",煮,咸鲜味,高级厨师
47,正宗盐水鸭,[鸭肉],"[花生油,桂皮,八角,五香粉,花椒,盐,大葱,料酒,生姜]",炖,咸鲜味,初中水平
48,空心菜煎蛋,"[空心菜,鸡蛋]","[花生油,盐]",煎,家常味,初中水平
49,韩式无骨凤爪,[鸡爪],"[番茄酱,辣椒酱,辣椒粉,酱油,白糖,盐,大蒜]",酱,香辣味,中级掌勺
50,野韭菜炒鸡蛋,"[韭菜,鸡蛋]","[花生油,盐,鸡精,小葱]",炒,家常味,未知
51,炝拌十香菜,[香菜],"[大葱,盐,醋,花生油,干辣椒]",拌,家常味,新手尝试
52,酱黄瓜,[黄瓜],"[生姜,大蒜,盐,酱油,白糖,醋,干辣椒,花椒,鸡精,酒酿]",酱,香辣味,未知
53,胡萝卜木耳炒山药,"[山药,黑木耳,胡萝卜]","[生姜,花生油,盐,料酒]",炒,咸鲜味,未知
54,酱炒鸡蛋大葱,"[鸡蛋,大葱]","[花生油,白糖,料酒,酱油,盐]",炒,家常味,未知
55,大蒜扇贝肉蒸粉丝,"[大蒜,扇贝,粉丝]","[大葱,料酒,白糖,盐,花生油,生姜]",蒸,咸鲜味,未知
56,椒麻鸡,[鸡肉],"[盐,大葱,生姜,花椒,花生油,干辣椒,八角,香叶,草果,桂皮,白芷,辣椒油,辣椒,洋葱,香菜]",拌,椒麻味,初级入门
57,肉末烧茄子,"[茄子,猪肉]","[大葱,酱油,白糖,料酒,盐,鸡精,胡椒粉,花生油,大蒜,豆瓣酱]",烧,咸鲜味,初级入门
58,青椒煸鸡,"[青椒,鸡肉]","[花生油,干辣椒,花椒,生姜,大蒜,盐,白糖]",爆炒,香辣味,初级入门
59,时蔬烤鸡腿饭,"[鸡腿,胡萝卜,西红柿,鸡腿菇]","[胡椒粉,盐,花生油,辣椒]",烤,家常味,初中水平
60,小麦面粉煎咸肉,"[咸肉,小麦面粉]","[味精,胡椒粉,花生油]",煎,咸鲜味,未知
61,炒米粉,"[胡萝卜,香菇,米粉,鸡蛋]","[大蒜,花生油,盐,大葱]",炒,家常味,新手尝试
62,大蒜豆腐烧虾煲,"[虾,豆腐,娃娃菜]","[花生油,大蒜,豆瓣酱,大葱,盐]",烧,咸鲜味,未知
63,赛螃蟹,"[虾皮,咸鸭蛋,鸡蛋]","[生姜,盐,白糖,牛奶,花生油]",炒,咸鲜味,未知
64,炸鸡胸肉,[鸡肉],"[盐,鸡蛋,小麦面粉,胡椒粉,生姜,料酒,淀粉,花生油]",炸,家常味,未知
65,土豆炒肉丝,"[猪肉,土豆]","[花生油,大蒜,生姜,淀粉,盐,五香粉,鸡精,料酒,青椒]",炒,家常味,未知
66,牛肋条炖土豆,"[牛肉,土豆]","[料酒,西红柿,大葱,生姜,花椒,八角,香叶,桂皮,花生油,盐,辣椒,白糖]",炖,家常味,新手尝试
67,洋葱炒肉丝,"[洋葱,猪肉]","[花生油,盐,辣椒酱,料酒,酱油,鸡精,生姜,胡萝卜]",炒,家常味,未知
68,花朵馒头,[小麦面粉],"[白糖,紫薯]",蒸,甜味,未知
69,红烧羊肉,[羊肉],"[生姜,料酒,胡萝卜,大葱,干辣椒,酱油,八角,桂皮,花椒,冰糖,花生油,盐,胡椒粉,辣椒]",焖,家常味,初级入门
70,红烧鸡翅,[鸡翅],"[冰糖,大蒜,芝麻,料酒,酱油,大葱,干辣椒,生姜,花生油,盐]",红烧,家常味,未知
71,芹菜烧带鱼,"[带鱼,芹菜]","[花生油,生姜,大蒜,泡椒,豆瓣酱,盐]",烧,家常味,初级入门
72,晒萝卜干,"[白萝卜,青萝卜]","[白糖,鸡精,辣椒油,黑芝麻,盐]",腌,咸鲜味,新手尝试
73,麻辣龙虾芝士球,"[虾,土豆,芝士]","[盐,胡椒粉,料酒,大葱,淀粉,花生油]",煎,香辣味,初中水平
74,酱醋腌萝卜,[白萝卜],"[花椒,盐,醋,八角,桂皮,香叶,草果]",腌,咸鲜味,未知
75,炸猪肉丸,[猪肉],"[生姜,花生油,淀粉,盐,小葱,鸡蛋,鸡精,蚝油]",炸,家常味,初级入门
76,鱼香茄子,[茄子],"[豆瓣酱,花生油,大蒜,醋,辣椒,酱油,白糖,盐,淀粉,小葱]",炒,酸甜味,初级入门
77,青椒干豆腐,"[豆腐皮,青椒]","[花生油,酱油,料酒,鸡精,大葱,辣椒,盐]",炒,香辣味,新手尝试
78,西兰花虾仁鸡蛋豆腐汤,"[虾,鸡蛋,豆腐,西兰花]","[花生油,盐,料酒]",煮,家常味,未知
79,青大蒜回锅肉,"[猪肉,大蒜]","[花生油,豆瓣酱,酱油,醋,生姜,大葱,泡椒,豆豉,白糖,盐]",炒,香辣味,未知
80,香肠土豆焖饭,"[香肠,大米,土豆]","[盐,花生油,胡萝卜,西红柿,大蒜,酱油,蚝油]",焖,家常味,高级厨师
81,西红柿鸡蛋炒扇贝,"[西红柿,鸡蛋,扇贝]","[大葱,生姜,大蒜,花生油,盐]",炒,家常味,初级入门
82,卤蛋,[鹌鹑蛋],"[料酒,花椒,冰糖,八角,生姜,干辣椒,桂皮,香叶,盐,酱油]",卤,咸鲜味,新手尝试
83,白糖醋鲤鱼,[鲤鱼],"[番茄酱,淀粉,料酒,醋,白糖,盐,鸡蛋,小麦面粉,大葱,生姜,蒜苗,花生油]",炸,酸甜味,初中水平
84,鸭腿炖白萝卜,"[鸭腿,胡萝卜,白萝卜]","[花椒,八角,白糖,料酒,盐,味精,生姜,香菜]",炖,咸鲜味,未知
85,刀拍黄瓜,[黄瓜],"[大蒜,醋,花椒,干辣椒,白糖,盐,花生油,花生]",拌,家常味,初级入门
86,猪脚姜,"[生姜,猪蹄]","[料酒,醋,酱油,白糖,鸡蛋,盐,花生油]",炖,家常味,新手尝试
87,大蒜烧红苋菜,"[大蒜,苋菜]","[料酒,猪肉,盐,生姜,淀粉,鸡精,花生油]",炒,家常味,未知
88,辣子鸡中翅,[鸡翅],"[花生油,花生,盐,料酒,生姜,香菜,干辣椒]",炸,香辣味,新手尝试
89,重庆辣子鸡,[鸡肉],"[大葱,酱油,花生,大蒜,盐,白糖,花椒,生姜,料酒,干辣椒,花生油]",爆炒,香辣味,初中水平
90,油焖大虾,[虾],"[大葱,生姜,料酒,盐,鸡精,白糖,花生油,八角,桂皮,花椒,辣椒]",焖,家常味,初级入门
91,宫保鸡丁,"[鸡肉,花生,黄瓜]","[干辣椒,大葱,生姜,花椒,盐,料酒,醋,淀粉,白糖,胡椒粉,花生油]",炒,咸鲜味,初级入门
92,青椒炒鸡蛋,"[青椒,鸡蛋]","[大蒜,花生油,盐]",炒,家常味,新手尝试
93,梅菜扣肉,"[猪肉,梅干菜]","[花生油,料酒,酱油,白糖,盐,生姜,大葱,五香粉,花椒]",蒸,咸鲜味,新手尝试
94,榴莲炖鸡,"[榴莲,鸡肉]","[花生油,生姜,冬枣,盐,枸杞子]",炖,咸鲜味,新手尝试
95,香菇肉丸,"[香菇,猪肉]","[大葱,生姜,大蒜,花生油,盐]",烤,家常味,未知
96,油焖春笋,[春笋],"[花生油,大葱,酱油,白糖,盐]",焖,酱香味,初中水平
97,无油粉炒土豆丝,"[土豆,小麦面粉]","[盐,胡椒粉,大葱,花生油]",炒,葱香味,中级掌勺
98,鹌鹑蛋烧鸡爪,"[鸡爪,鹌鹑蛋]","[花生油,大葱,料酒,干辣椒,盐,八角,香叶]",烧,家常味,新手尝试
99,黄焖鸡米饭,"[鸡肉,香菇,青椒,土豆,大米]","[花生油,盐,料酒]",焖,咸鲜味,中级掌勺
100,红烧排骨,[排骨],"[花生油,大葱,大蒜,干辣椒,胡椒粉,料酒,生姜,八角,白糖,盐,酱油]",红烧,家常味,未知
101,红烧鲤鱼,[鲤鱼],"[花生油,料酒,盐,小葱,冰糖,生姜,干辣椒,酱油,鸡精,花椒,五香粉]",红烧,家常味,初中水平
102,鸡蛋炒虾仁,"[鸡蛋,虾仁]","[花生油,料酒,胡椒粉,盐,大葱]",炒,咸鲜味,初级入门
103,白菜炖鱼,"[白菜,草鱼]","[花生油,料酒,大葱,盐,大蒜,胡椒粉,辣椒]",炖,家常味,新手尝试
104,西兰花鸡肉卷,"[鸡肉,西兰花]","[盐,鸡蛋,花生油,胡萝卜]",煎,咸鲜味,初级入门
105,酸菜猪肉馅水饺,"[粉条,猪肉,小麦面粉,酸菜]","[花生油,盐,五香粉,大葱,生姜,料酒]",煮,咸鲜味,初级入门
106,荞麦肠仔馒头卷,"[荞麦面,火腿,小麦面粉]","[牛奶,白糖]",蒸,其它口味,初中水平
107,花蛤蒸蛋,"[蛤蜊,鸡蛋]","[花生油,盐,大葱]",蒸,家常味,初级入门
108,爆炒牛杂,[牛肉],"[花生油,杏鲍菇,生姜,料酒,白糖,盐,大葱]",炒,家常味,新手尝试
109,爆炒猪耳朵,[猪耳朵],"[花生油,豆瓣酱,盐,白糖,味精,辣椒,大葱,大蒜,生姜]",炒,香辣味,未知
110,鸡蛋龙利鱼大白菜羹,"[白菜,龙利鱼,鸡蛋]","[花生油,淀粉,料酒,盐,味精,醋]",煮,酸味,中级掌勺
111,辣椒炒肉,"[猪肉,辣椒]","[花生油,盐,生姜,白糖,大蒜,淀粉,料酒,大葱]",炒,香辣味,未知
112,酱牛肉,[牛肉],"[花生油,酱油,大葱,生姜,八角,盐,枸杞子,黄芪,陈皮,山楂,桂皮,香叶,花椒,五香粉]",酱,酱香味,初中水平
113,榨菜炒鸡蛋,"[榨菜,鸡蛋]","[大葱,料酒,鸡精,花生油,盐]",炒,家常味,未知
114,鸡翅包饭,"[鸡翅,大米]","[花生油,盐,酱油,料酒,胡椒粉,辣椒粉,孜然,生姜,大蒜,香菇]",焖,咸鲜味,初级入门
115,包菜炒肉丝,"[猪肉,包菜]","[花生油,大蒜,粉条,料酒,盐,白糖,花椒,生姜,辣椒]",炒,咸鲜味,未知
116,干锅兔,[兔肉],"[花生油,干辣椒,土豆,魔芋,黄瓜,芹菜,洋葱,金针菇,生姜,盐,花椒,小葱,辣椒酱,料酒]",炒,香辣味,初级入门
117,香葱炒蛋,"[大葱,鸡蛋]","[盐,花生油,白糖]",炒,家常味,未知
118,玉米豆角肉末炒饭,"[大米,玉米,猪肉]","[花生油,盐,胡萝卜]",炒,家常味,新手尝试
119,西红柿鸡翅,"[西红柿,鸡翅]","[番茄酱,酱油,盐,白糖,大葱,花生油]",炖,甜味,初级入门
120,肉末海带炒粉条,"[海带,粉条,猪肉]","[大葱,淀粉,生姜,豆瓣酱,花生油,盐,鸡精,料酒,花椒]",炒,咸鲜味,未知
121,家常炒面,"[面条,猪肉]","[花生油,白菜,胡萝卜,洋葱,酱油,盐,料酒,大葱]",炒,家常味,新手尝试
122,卤鸭掌鸭翅,"[鸭掌,鸭翅]","[盐,料酒,鸡蛋,八角,香叶,花椒,干辣椒,大蒜,生姜,白糖]",卤,五香味,新手尝试
123,猪肉酸菜馄饨,"[猪肉,酸菜,小麦面粉]","[盐,鸡精,花椒,花生油,料酒]",煮,家常味,未知
124,叫花鸡,[鸡肉],"[小麦面粉,黄油,盐,味精,白糖,花生油,大葱,生姜,大蒜,洋葱,香菇]",烤,咸鲜味,高级厨师
125,大蒜黄炒牛肉,[牛肉],"[花生油,大葱,料酒,胡椒,盐]",炒,家常味,初级入门
126,魔芋烧鸭腿,"[鸭腿,魔芋]","[花生油,酱油,白糖,料酒,盐,味精,大葱,生姜,大蒜,花椒,八角]",烧,家常味,未知
127,咖喱牛肉,"[牛肉,咖喱]","[胡萝卜,土豆,洋葱,胡椒,花生油,盐]",炒,咖喱味,初级入门
128,清蒸石斑鱼,[石斑鱼],"[花生油,大葱,辣椒,酱油,生姜,盐]",蒸,家常味,未知
129,毛豆烧武昌鱼,"[武昌鱼,毛豆]","[辣椒,香菇,生姜,大蒜,香菜,大葱,豆瓣酱,料酒,胡椒粉,盐,醋,花生油]",烧,咸鲜味,初中水平
130,可乐鸡蛋,"[鸡蛋,可乐]","[花生油,酱油,盐]",煮,家常味,未知
131,咖喱鸡翅,"[鸡翅,咖喱]","[生姜,大蒜,盐,料酒,花生油]",烤,家常味,未知
132,鱼香肉丝,"[黑木耳,胡萝卜,猪肉]","[白糖,花生油,大葱,干辣椒,淀粉,盐,鸡精,醋,酱油,料酒,生姜,大蒜]",炒,鱼香味,高级厨师
133,苦瓜炒肉丝,"[苦瓜,猪肉]","[辣椒,豆豉,辣椒酱,生姜,大蒜,酱油,花生油,味精,蚝油,料酒,淀粉,白糖]",炒,家常味,初中水平
134,好吃的干锅花菜,[花菜],"[猪肉,花生油,花椒,干辣椒,盐,料酒,鸡精,小葱,大蒜,豆瓣酱,酱油,蚝油,白糖]",炒,家常味,新手尝试
135,红烧啤酒鸭炖土豆,"[土豆,鸭肉,啤酒]","[花生油,盐,白糖,大葱,生姜,干辣椒,八角]",炖,家常味,新手尝试
136,家常版红油口水鸡,[鸡肉],"[花生油,大葱,大蒜,料酒,花生,醋,生姜,白糖,花椒,盐,辣椒油]",煮,酸辣味,新手尝试
137,大蒜蒸生蚝,"[大蒜,生蚝]","[花生油,粉丝,小葱,盐,辣椒,料酒,鸡精,蚝油]",蒸,蒜香味,新手尝试
138,西红柿炒鸡蛋,"[西红柿,鸡蛋]","[盐,白糖,花生油,大葱,大蒜]",炒,家常味,初级入门
139,酱烧茄子,[茄子],"[花生油,青椒,大蒜,猪肉,料酒,香菜,盐]",烧,酱香味,未知
140,香煎孜然马鲛鱼,[马鲛鱼],"[花生油,盐,孜然,生姜,大葱,大蒜,料酒,醋]",煎,其它口味,未知
141,韭菜扇贝饺子,"[小麦面粉,韭菜,扇贝]","[鸡精,盐,花生油,鸡蛋]",煮,咸鲜味,初级入门
142,浇汁变蛋西蓝花,"[西兰花,鹌鹑蛋]","[盐,辣椒,大蒜,白糖,醋,鸡精,花生油]",拌,咸鲜味,未知
143,酸萝卜鲤鱼,"[鲤鱼,青萝卜]","[花生油,西红柿,盐,料酒,生姜,大蒜,辣椒,香菜]",煮,咸鲜味,未知
144,手撕包菜,[包菜],"[花生油,猪肉,大蒜,生姜,干辣椒,醋,酱油,盐,白糖]",炒,家常味,中级掌勺
145,白糖醋排骨,[排骨],"[花生油,生姜,白糖,料酒,醋,盐,大葱,淀粉,酱油]",烧,酸甜味,初中水平
146,菠萝烤翅,"[菠萝,鸡翅]","[大蒜,生姜,蜂蜜,盐,鸡精,胡椒粉,料酒,花生油]",烤,果味,中级掌勺
147,肉末茄子土豆,"[土豆,茄子,猪肉]","[花生油,料酒,酱油,盐,鸡精,豆豉,大葱]",炒,家常味,未知
148,酱香四季豆炒肉片,"[四季豆,猪肉]","[生姜,大蒜,大葱,花生油,料酒,辣椒酱,盐,辣椒]",炒,酱香味,初级入门
149,清炒豆芽,[绿豆芽],"[盐,鸡精,蚝油,花生油,大蒜,大葱]",炒,家常味,未知
150,红烧鸡块,[鸡肉],"[生姜,大葱,大蒜,花生油,白糖,盐]",烧,家常味,初中水平
151,韭菜汁鹅肝酱藕夹,"[鸡肉,莲藕,韭菜,鹅肝]","[花生油,虾仁,西红柿,面包,盐]",炒,家常味,新手尝试
152,山药烧兔肉,"[兔肉,山药]","[花生油,豆瓣酱,生姜,大蒜,辣椒,淀粉,料酒,盐]",烧,香辣味,新手尝试
153,酱猪蹄,[猪蹄],"[生姜,大葱,花生油,八角,桂皮,白糖,料酒,盐]",酱,酱香味,初中水平
154,烤茄子拌尖椒,"[茄子,辣椒]","[花生油,酱油,醋,白糖,大蒜,盐]",拌,咸鲜味,新手尝试
155,炸鸡翅,[鸡翅],"[花生油,盐,淀粉,孜然,胡椒粉,料酒,生姜,大蒜,辣椒粉]",炸,黑椒味,未知
156,腰果鸡丁,"[腰果,鸡肉]","[花生油,白糖,料酒,酱油,盐,大蒜,小葱,干辣椒,孜然]",炒,家常味,新手尝试
157,可乐鸡翅,"[鸡翅,可乐]","[花生油,大葱,生姜,香叶,桂皮,大蒜,花椒,干辣椒,八角,盐]",炖,甜味,新手尝试
158,快手早餐饼,"[鸡蛋,小麦面粉]","[花生油,小葱,盐,胡椒粉,西红柿]",煎,咸鲜味,中级掌勺
159,烩南北,[竹笋],"[花生油,八角,淀粉,生姜,盐,料酒,青椒,辣椒]",烩,家常味,初级入门
160,南京盐水鸭,[鸭肉],"[花生油,花椒,桂皮,八角,生姜,大葱,盐,鸡精,料酒]",炖,咸鲜味,中级掌勺
161,莲藕肉丸,"[猪肉,莲藕]","[胡椒粉,花椒,花生油,盐,小葱,生姜,淀粉]",炸,家常味,未知
162,红烧肉,[猪肉],"[花生油,盐,淀粉,八角,桂皮,大葱,酱油,冰糖,生姜,小葱,料酒,大蒜]",烧,家常味,新手尝试
163,火腿肠鸡蛋炒面,"[面条,火腿,鸡蛋]","[花生油,小葱,香菜,酱油,蚝油,盐]",炒,咸鲜味,未知
164,白玉菇番茄扇贝小炒,"[白玉菇,西红柿,扇贝]","[盐,小葱,鸡精,花生油,料酒]",炒,家常味,未知
165,菠菜拌毛蚬子,"[菠菜,蚬子]","[花生油,盐,蚝油,白糖,醋,鸡精]",拌,咸鲜味,新手尝试
166,虔参堂海参,[海参],"[大葱,酱油,花生油,鸡蛋,盐]",蒸,家常味,新手尝试
167,卤猪心,[猪心],"[花生油,大蒜,甘草,花椒,八角,白芷,香叶,生姜,砂仁,茴香,料酒,酱油,盐,香菜]",卤,咸鲜味,新手尝试
168,小鸡炖蘑菇,"[鸡肉,香菇]","[花生油,酱油,冰糖,盐,大葱,生姜,香叶,八角,花椒,白芷,桂皮]",炖,家常味,新手尝试
169,纯手工猪肉脯,[猪肉],"[花生油,酱油,料酒,白糖,胡椒粉,蜂蜜,黑芝麻,盐]",烤,甜味,中级掌勺
170,土豆回锅肉,"[猪肉,土豆]","[花生油,大蒜,豆豉,豆瓣酱,生姜,白糖,酱油,小葱,盐]",炒,家常味,未知
171,蒸鲈鱼,[鲈鱼],"[花生油,盐,大蒜,青椒,生姜,小葱,料酒]",蒸,家常味,中级掌勺
