id,name,mainFood,subFood,skill,taste,difficulty
172,蓑衣黄瓜,[黄瓜],"[花生油,大蒜,辣椒,醋,白糖,花生,盐]",腌,咸鲜味,初中水平
173,水煮牛肉,[牛肉],"[生菜,花生油,豆瓣酱,盐,大葱,花椒,生姜,大蒜,淀粉,鸡精,白糖,料酒,黄豆芽]",煮,麻辣味,未知
174,牙签羊肉,[羊肉],"[花生油,盐,料酒,孜然,芝麻]",炸,香辣味,新手尝试
175,菠菜拌扇贝,"[扇贝,菠菜]","[花生油,大蒜,盐,白糖,味精,醋]",拌,蒜香味,新手尝试
176,鲜虫草花蒸鸡,[鸡肉],"[花生油,盐,蚝油,生姜,大葱,红枣]",蒸,咸鲜味,新手尝试
177,红烧肉炖海带,"[猪肉,海带]","[花生油,生姜,盐,柠檬,大蒜,桂皮,丁香,砂仁,冰糖,醋,白菜]",炖,咸鲜味,未知
178,秘制东坡肉,[猪肉],"[花生油,生姜,冰糖,淀粉,八角,小葱,盐,桂皮,大葱,酱油,料酒,大蒜]",烧,咸鲜味,未知
179,蒜蓉孜然烤茄子,"[大蒜,茄子]","[花生油,辣椒,孜然,大葱,盐]",烤,香辣味,未知
180,烤羊排,[羊排],"[花生油,盐,孜然,辣椒,洋葱,辣椒粉,花椒,八角,料酒,大葱,生姜,酱油,蚝油,辣椒酱]",烤,麻辣味,初中水平
181,微波炉鳊鱼,[鳊鱼],"[花生油,豆瓣酱,辣椒,洋葱,生姜,花椒,大蒜,料酒,淀粉,大葱,盐]",微波,咸鲜味,新手尝试
182,木耳炒山药,"[黑木耳,山药]","[花生油,大葱,盐,白糖,淀粉,青椒]",炒,家常味,未知
183,小动物牛奶馒头,"[小麦面粉,牛奶]","[鸡蛋,酵母粉,白糖,盐]",蒸,甜味,未知
184,西葫芦炒鸡蛋,"[西葫芦,鸡蛋]","[花生油,盐,料酒,大葱,白糖]",炒,家常味,未知
185,土豆烧鸡腿,"[鸡腿,土豆]","[花生油,生姜,八角,桂皮,香叶,料酒,盐]",烧,家常味,初级入门
186,土鸡焖花卷,"[鸡肉,花卷]","[花生油,盐,花椒,豆瓣酱,生姜]",焖,家常味,中级掌勺
187,凉调荷兰豆,[荷兰豆],"[大蒜,干辣椒,盐,白糖,花椒,花生油]",拌,家常味,未知
188,白菜丸子炖粉丝,"[娃娃菜,粉丝,猪肉]","[花生油,大葱,八角,生姜,酱油,蚝油,盐]",炖,家常味,新手尝试
189,蒸南瓜,[南瓜],"[淀粉,蜂蜜,白糖,盐]",蒸,甜味,未知
190,糖醋肉丁,[猪肉],"[料酒,胡椒粉,淀粉,花生油,白糖,盐,醋,大蒜]",烧,酸甜味,新手尝试
191,韩式鸡肉粥,[鸡肉],"[花生油,盐,芝麻,味精,小葱,大蒜,大葱,海带,西葫芦,胡萝卜,洋葱]",煮,家常味,初中水平
192,蒜蓉油麦菜,"[油麦菜,大蒜]","[花生油,鸡精,花椒,盐]",炒,蒜香味,新手尝试
193,糖醋藕丁,[莲藕],"[花生油,盐,鸡蛋,醋,白糖,小麦面粉,淀粉]",炒,酸甜味,中级掌勺
194,茄汁卷心菜炖鸡肉,"[鸡肉,卷心菜,西红柿]","[花生油,洋葱,大蒜,土豆,番茄酱,香叶,盐,白糖]",炖,酸甜味,新手尝试
195,尖椒土豆片,[土豆],"[花生油,盐,酱油,猪肉,辣椒]",炒,香辣味,新手尝试
196,米粉肉,"[猪肉,大米]","[酱油,鸡精,盐,白糖,八角,料酒,生姜]",蒸,甜味,初中水平
197,北京豆腐脑,[黄豆],"[鸡蛋,鸡精,黑木耳,盐,淀粉,香菜,大葱]",煮,咸鲜味,初中水平
198,蒸鸡蛋羹,[鸡蛋],"[盐,料酒]",蒸,咸鲜味,初级入门
199,叮叮豆腐,[豆腐],"[花生油,胡萝卜,香菜,芝麻,酱油,盐]",微波,家常味,未知
200,鸡腿焖锅,[鸡腿],"[花生油,蚝油,蜂蜜,酱油,番茄酱,盐,红薯,洋葱,胡萝卜]",焖,咸鲜味,未知
201,牛油果猪肉馅饺子,"[猪肉,小麦面粉,牛油果]","[花生油,盐,大葱]",煮,咸鲜味,未知
202,千层肉饼,"[小麦面粉,猪肉]","[鸡蛋,大葱,盐,生姜,花生油,小葱,五香粉,酱油,料酒,蚝油,白糖]",烙,家常味,初级入门
203,凉拌鸡丝,[鸡肉],"[花生油,黄瓜,小葱,大蒜,盐,生姜,香菜,胡萝卜,黑木耳,辣椒,花生,料酒,辣椒粉,胡椒粉]",煮,香辣味,未知
204,凉拌茄子,[茄子],"[醋,花生油,蚝油,大蒜,酱油,茴香,盐,白糖,辣椒,鸡精]",蒸,香辣味,初级入门
205,鲜肉大馄饨,"[小麦面粉,猪肉]","[盐,料酒,花生油,大葱,生姜,鸡蛋,菠菜]",煮,咸鲜味,中级掌勺
206,芝麻煎鸡腿,"[鸡腿,芝麻]","[花生油,料酒,酱油,蜂蜜,盐,淀粉]",煎,咸鲜味,新手尝试
207,腐竹焖五花肉,"[猪肉,腐竹]","[花生油,生姜,大蒜,大葱,辣椒,蒜苗,芹菜,料酒,酱油,蚝油,盐]",炒,咸鲜味,初中水平
208,香辣草鱼豆腐煲,"[草鱼,豆腐]","[花生油,小葱,生姜,洋葱,料酒,蚝油,盐,白糖]",炖,家常味,中级掌勺
209,三杯鸡,[鸡肉],"[大葱,大蒜,生姜,辣椒,白糖,酱油,盐,花生油]",烧,咸鲜味,中级掌勺
210,酱鸭腿,[鸭腿],"[料酒,白糖,盐,生姜,大葱,八角,桂皮,干辣椒,香叶]",炖,酱香味,初级入门
211,排骨玉米炖豆角,"[排骨,玉米,土豆,豆角]","[花生油,盐,生姜,料酒,蚝油,八角,小葱]",炖,咸鲜味,初级入门
212,凉皮,[小麦面粉],"[辣椒粉,盐,白糖,醋,大葱,大蒜,黄瓜,苏打粉,香菜]",拌,家常味,新手尝试
213,青椒鸡蛋饼,"[青椒,鸡蛋,小麦面粉]","[花生油,胡萝卜,盐]",煎,咸鲜味,中级掌勺
214,清蒸鱼,[鲳鱼],"[花生油,料酒,生姜,大葱]",蒸,咸鲜味,新手尝试
215,清炖羊肉,"[羊肉,山药]","[花生油,小葱,生姜,大蒜,花椒,八角,枸杞子,盐,料酒]",炖,咸鲜味,初级入门
216,酱油炒饭,"[大米,酱油]","[花生油,盐,鸡精,黄瓜,胡萝卜,鸡蛋,小葱,火腿,大蒜]",炒,家常味,初级入门
217,西湖牛肉羹,"[豆腐,香菇,牛肉]","[生姜,淀粉,胡椒粉,柠檬,盐,香菜,大葱]",煮,家常味,初级入门
218,西葫芦炒肉,"[西葫芦,猪肉]","[大蒜,小葱,花生油,料酒,鸡精,盐,酱油,蚝油,淀粉]",炒,咸鲜味,初级入门
219,爆炒猪腰,[猪腰],"[醋,青椒,酱油,白糖,盐,鸡精,生姜,淀粉,大蒜,花生油]",炒,香辣味,初级入门
220,干锅土豆香辣虾,"[土豆,芹菜,猪肉,虾]","[花生油,洋葱,冰糖,酱油,豆瓣酱,盐,白糖,大蒜]",干煸,香辣味,未知
221,骨头汤,[排骨],"[花生油,生姜,白萝卜,小葱,料酒,盐,鸡精,蚝油]",炖,咸鲜味,新手尝试
222,炖排骨,[排骨],"[花生油,酱油,料酒,盐,桂皮,八角,香叶,小葱,生姜,冰糖,干辣椒]",炖,咸鲜味,初中水平
223,粉蒸排骨,"[排骨,米粉]","[花生油,料酒,酱油,蚝油,盐,生姜,大葱,蚝油,辣椒粉,胡椒粉]",蒸,家常味,初级入门
224,青椒炒肉,"[猪肉,青椒]","[盐,料酒,酱油,花生油,淀粉,白糖,大蒜,生姜]",炒,香辣味,初级入门
225,青椒猪肉,"[猪肉,青椒]","[花生油,大蒜,胡椒粉,盐,淀粉,白糖,料酒,酱油,生姜]",炒,香辣味,初级入门
226,爆炒鱿鱼,[鱿鱼],"[生姜,青椒,洋葱,盐,大葱,大蒜,花生油,干辣椒,豆瓣酱,辣椒酱,酱油,芝麻,孜然]",炒,咸鲜味,中级掌勺
227,土豆烧鸡,"[鸡肉,土豆]","[花生油,盐,料酒,生姜,大蒜,辣椒,白糖,酱油,大葱]",烧,香辣味,中级掌勺
228,奶酪火鸡,"[鸡肉,山楂]","[大蒜,盐,酱油,辣椒粉,辣椒酱,芝麻酱,花生油,芝麻,紫菜,胡椒粉]",炒,香辣味,初级入门
229,香烤猪蹄,[猪蹄],"[八角,花生油,盐,香叶,百香果,桂皮,冰糖,料酒,花生酱,酱油,干辣椒,花椒,大葱,辣椒粉,生姜]",烤,香辣味,初级入门
230,烤肉,[猪肉],"[生姜,酱油,蚝油,辣椒粉,盐,白糖,花生油,洋葱,辣椒,料酒]",煎,咸鲜味,初中水平
231,香烤口蘑鹌鹑蛋,"[蘑菇,鹌鹑蛋]","[盐,胡椒,迷迭香,花生油]",烤,家常味,新手尝试
232,空气炸锅地三鲜,"[土豆,青椒,茄子]","[花生油,酱油,鸡精,料酒,小葱,生姜,醋,大蒜,白糖,蚝油,盐,淀粉,花椒]",烤,酱香味,中级掌勺
233,炒合菜,"[鸡蛋,黄豆芽,韭菜,粉条]","[花生油,酱油,蚝油,盐,大葱]",炒,家常味,新手尝试
234,孜然烤翅,[鸡翅],"[花生油,盐,孜然,酱油,料酒,蚝油]",烤,其它口味,初级入门
235,水煮虾,[虾],"[酱油,生姜,大蒜,大葱,花生油,花椒,料酒,白糖,盐]",煮,香辣味,初中水平
236,爆炒猪肝,[猪肝],"[大蒜,生姜,花生油,酱油,白糖,料酒,盐,鸡精,辣椒,豆瓣酱,淀粉,小葱,大葱]",炒,咸鲜味,初中水平
237,麻婆豆腐,[豆腐],"[花椒,猪肉,豆瓣酱,辣椒,盐,白糖,酱油,大葱,生姜,大蒜,淀粉,鸡精,花生油]",炒,麻辣味,新手尝试
238,牛肉面,"[牛肉,面条]","[花生油,大葱,生姜,花椒,肉蔻,盐,香叶,八角,桂皮,草果,干辣椒,豆豉,白糖,料酒]",煮,家常味,新手尝试
239,地狱排骨,[排骨],"[花生油,酒酿,胡萝卜,玉米,香菇,酱油,料酒,番茄酱,豆瓣酱,八角,香叶,盐,花椒,大葱,生姜,大蒜,青椒]",焖,家常味,中级掌勺
240,香煎鸡肉,[鸡肉],"[花生油,胡椒粉,盐,紫甘蓝,黄瓜,秋葵,西红柿]",煎,家常味,初级入门
241,豉香蒸排骨,"[排骨,豆豉]","[花生油,盐,酱油,蚝油,大葱,生姜,大蒜,小麦面粉,辣椒]",蒸,咸鲜味,初级入门
242,牛尾汤,[牛尾],"[花生油,山药,胡萝卜,枸杞子,大葱,盐,胡椒粉]",炖,咸鲜味,初级入门
243,黑木耳炒肉,"[黑木耳,猪肉]","[大蒜,生姜,料酒,盐,辣椒,酱油,花生油,鸡精,洋葱]",炒,咸鲜味,初级入门
244,腐竹炒肉,"[腐竹,猪肉]","[花生油,酱油,辣椒,大葱,盐]",炒,咸鲜味,初级入门
245,青椒炒猪肝,"[猪肝,青椒]","[生姜,大蒜,辣椒,盐,白糖,酱油,淀粉,花生油]",炒,家常味,初级入门
246,猪肉蒸蛋,"[鸡蛋,猪肉]","[淀粉,花生油,大蒜,酱油,大葱,盐]",蒸,家常味,初级入门
247,凉拌鸡肉,[鸡肉],"[花生油,大葱,生姜,料酒,大蒜,酱油,蚝油,盐,辣椒粉,辣椒,芝麻,孜然,鸡精,香菜]",拌,香辣味,初中水平
248,虾仁炒蛋,"[虾仁,鸡蛋]","[花生油,盐,生姜,酱油,大葱]",炒,咸鲜味,初级入门
249,麻辣豆腐,[豆腐],"[盐,花生油,猪肉,大葱,大蒜,豆瓣酱,胡椒粉,酱油,鸡精,淀粉,白糖,辣椒]",炒,香辣味,初级入门
250,麻婆茄子,"[茄子,猪肉]","[花生油,白糖,盐,料酒,大蒜,生姜,豆瓣酱,番茄酱,酱油,淀粉,小葱]",炒,麻辣味,新手尝试
251,清蒸石斑鱼,[石斑鱼],"[盐,花生油,生姜,大葱,酱油,小葱]",蒸,咸鲜味,新手尝试
252,西兰花炒虾仁,"[西兰花,虾仁]","[生姜,料酒,花生油,鸡精,盐,淀粉,大蒜,八角,酱油]",炒,咸鲜味,初级入门
253,腌菜花炝毛豆,"[上海青,毛豆]","[花生油,盐,辣椒,生姜,大葱]",炒,咸鲜味,新手尝试
254,白糖醋带鱼,[带鱼],"[花生油,料酒,盐,淀粉,生姜,小葱,醋,白糖]",烧,酸甜味,初级入门
255,杀猪菜,"[猪大肠,猪肝,猪肉,猪血]","[花生油,大葱,生姜,八角,鸡精,盐,胡椒粉,苋菜]",煮,家常味,初级入门
256,萝卜脆脆片,[白萝卜],"[酱油,醋,白糖,辣椒,大蒜,生姜,盐]",腌,酸辣味,新手尝试
257,冬瓜肉卷,"[猪肉,冬瓜]","[生姜,大蒜,大葱,料酒,蚝油,酱油,花生油,淀粉,香菇,盐]",蒸,家常味,未知
258,干炸带鱼,[带鱼],"[盐,五香粉,小麦面粉,大葱,生姜,花生油,料酒]",炸,咸鲜味,初级入门
259,大蒜香辣子鸡,"[鸡肉,大蒜]","[花椒,花生油,干辣椒,酱油,料酒,蚝油,泡椒,小麦面粉,芝麻,大葱,盐,生姜,胡椒粉]",炸,香辣味,初级入门
260,大蒜香排骨,"[排骨,大蒜]","[花生油,生姜,蚝油,盐,料酒,酱油,白糖,淀粉,胡椒粉]",炸,大蒜香味,中级掌勺
261,烤生蚝,"[生蚝,大蒜]","[花生油,大蒜,大葱,辣椒,盐,鸡精,蚝油,料酒]",蒸,咸鲜味,初级入门
262,蚵仔煎,[生蚝],"[花生油,大葱,卷心菜,淀粉,料酒,盐,胡椒粉,鸡蛋]",煎,咸鲜味,初级入门
263,鱼丸煮豆腐丝,"[娃娃菜,蟹味菇,咸肉,黑木耳,豆腐丝,牛肉,鱼丸,鱼干]","[香菜,大葱,生姜,花生油,盐,料酒]",煮,咸鲜味,初级入门
264,麻辣拌,"[莲藕,土豆,白菜]","[花生油,大蒜,辣椒,蚝油,大葱,辣椒粉,芝麻,酱油,盐,芝麻酱]",煮,香辣味,初级入门
265,大蒜炒鸡蛋,"[鸡蛋,大蒜]","[大蒜,盐,料酒,花生油]",炒,家常味,未知
266,水煮猪肉,[猪肉],"[盐,淀粉,黄豆芽,花生油,大葱,大蒜,料酒,干辣椒,花椒,豆瓣酱,酱油,鸡精,白糖]",煮,麻辣味,初中水平
267,奶酪火腿,"[火腿,奶酪]","[花生油,盐,小麦面粉,胡椒粉,面包,鸡蛋]",炸,咸鲜味,新手尝试
268,香辣鸡翅,[鸡翅],"[花椒,大蒜,酱油,大葱,料酒,花生油,豆瓣酱,生姜,干辣椒,盐]",炒,香辣味,初中水平
269,白糖醋牛肉鱼丸,"[牛肉,鸡蛋]","[辣椒油,淀粉,大葱,生姜,盐,料酒,酱油,蚝油,胡椒粉,猪油,白糖,番茄酱]",炸,酸甜味,初级入门
270,花生油焖虾,[皮皮虾],"[白糖,酱油,蚝油,盐,花生油,生姜,大葱]",烧,酸甜味,初级入门
271,炸蘑菇,[平菇],"[小麦面粉,淀粉,鸡蛋,花生油,盐]",炸,咸鲜味,初级入门
272,芹菜炒肉,"[猪肉,芹菜]","[花生油,盐,料酒,酱油,大葱,小葱,生姜,白糖,蚝油,淀粉,大蒜,鸡精]",炒,家常味,初级入门
273,京酱猪肉,"[猪肉,黄瓜]","[淀粉,豆腐皮,花生油,大葱,蚝油,豆瓣酱,盐,白糖,小葱,料酒]",炒,酱香味,初级入门
274,家常豆腐,[豆腐],"[花生油,胡萝卜,黑木耳,胡椒粉,豆瓣酱,酱油,盐,辣椒]",炒,家常味,初级入门
275,土豆饼,"[土豆,小麦面粉]","[大葱,盐,五香粉,胡椒粉,花生油]",煎,家常味,初级入门
276,煎米饼,"[火腿,鸡蛋,大米]","[大葱,盐,花生油]",煎,咸鲜味,初中水平
277,蘑菇莲藕片炒鸡蛋,"[蘑菇,莲藕,鸡蛋]","[花生油,酱油,盐,香菜]",炒,家常味,新手尝试
278,韭菜鸡蛋饺子,"[韭菜,鸡蛋,小麦面粉]","[大蒜,黑木耳,花生油,盐]",煮,家常味,新手尝试
279,青椒胡萝卜炒猪肉,"[猪肉,胡萝卜,青椒]","[生姜,花生油,豆瓣酱,料酒,淀粉,盐]",炒,咸鲜味,新手尝试
280,麻辣羊蝎子,[羊蹄筋],"[胡椒粉,白糖,香菜,盐,花生油,料酒,生姜,大葱,干辣椒,茴香,花椒,酱油,酒酿]",炖,麻辣味,新手尝试
281,大蒜香茄子,"[大蒜,茄子]","[花生油,大葱,酱油,蚝油,醋,盐,白糖,鸡精,辣椒]",烤,香辣味,初级入门
282,大盘鸡,"[鸡肉,土豆,青椒]","[花生油,干辣椒,花椒,八角,桂皮,香叶,豆瓣酱,料酒,酱油,蚝油,盐,鸡精,白糖,香菜,生姜,大葱]",炖,家常味,初级入门
283,包菜粉丝,"[粉丝,卷心菜]","[大葱,花生油,盐,酱油]",炒,咸鲜味,初级入门
284,火树银花,[牛肉],"[盐,花生油,花椒,胡椒粉,芝麻,五香粉]",炒,咸鲜味,初中水平
285,风味茄子,[茄子],"[花生油,大蒜,干辣椒,小葱,白糖,醋,酱油,盐,淀粉,鸡精]",炒,家常味,初级入门
286,面疙瘩,[小麦面粉],"[西红柿,鸡蛋,花生油,酱油,大葱,大蒜,盐,蚝油]",炒,家常味,新手尝试
287,花椒鱼头,[鱼头],"[生姜,大蒜,大葱,花生油,豆豉,蚝油,酱油,盐,花椒]",炖,香辣味,初中水平
288,老北京炸酱面,[面条],"[花生油,猪肉,黄豆芽,豆瓣酱,胡萝卜,黄瓜,大葱,料酒,生姜,盐]",煮,咸鲜味,初级入门
289,卤鸭胗鸭掌,"[鸭胗,鸭掌]","[八角,花椒,干辣椒,生姜,大蒜,香叶,栀子,草果,白豆蔻,料酒,冰糖,盐,酱油,酒酿,番茄酱]",卤,家常味,初级入门
290,红烧茄子,[茄子],"[盐,小麦面粉,花生油,花椒,大葱,生姜,酱油,白糖,香菜,大蒜]",炒,家常味,初级入门
291,枸杞子炒肉,"[枸杞子,猪肉]","[大葱,生姜,干辣椒,料酒,淀粉,酱油,花生油,盐]",炒,家常味,新手尝试
292,双拼猪肉,"[猪肉,虾仁,鸡蛋]","[花生油,大葱,淀粉,酱油,香菇,柠檬,盐]",蒸,家常味,新手尝试
293,香菜炒泥鳅,[泥鳅],"[花生油,盐,辣椒,香菜,青椒,大蒜]",煎,家常味,中级掌勺
294,猪肉大米盒子,"[大米,猪肉]","[花生油,香菇,盐,鸡蛋,胡萝卜,豌豆]",烙,家常味,新手尝试
295,秘制猪肉,[猪肉],"[花生油,小葱,冰糖,干辣椒,生姜,八角,香叶,盐,味精,料酒,酱油]",烧,家常味,新手尝试
296,洋葱炒猪肝,"[猪肝,洋葱]","[料酒,酱油,花生油,盐,大蒜,生姜,青椒]",炒,家常味,新手尝试
297,炸香椿鱼,[香椿鱼],"[小麦面粉,鸡蛋,盐,花生油]",炸,家常味,新手尝试
298,清炖鸡精,[鸡肉],"[黄芪,生姜,大葱,桂圆,红枣,枸杞子,党参,当归]",炖,家常味,初级入门
299,红焖鸡腿,[鸡腿],"[花生油,酱油,料酒,白糖,蚝油,盐,大葱,生姜,小葱]",烧,家常味,新手尝试
300,糯米鸡肉锅贴,"[糯米,鸡肉,小麦面粉]","[香菇,花生油,胡萝卜,盐,酱油,蚝油]",煎,家常味,初中水平
301,酸甜爽脆的红萝卜,[胡萝卜],"[盐,花生油,酱油,醋,白糖]",拌,酸甜味,新手尝试
302,荔枝肉,[猪肉],"[大葱,大蒜,生姜,淀粉,盐,番茄酱,白糖,酱油,花生油]",炒,酸甜味,初级入门
303,焗烤娃娃菜,"[娃娃菜,盐]","[花生油,盐,辣椒,小葱,大蒜,蚝油]",烤,家常味,新手尝试
304,小葱拌豆腐,"[豆腐,小葱]","[盐,花生油]",拌,家常味,初级入门
305,粉蒸羊肉,"[羊肉,大米]","[花生油,八角,干辣椒,花椒,酱油,鸡精,豆瓣酱,料酒]",蒸,香辣味,初级入门
306,干锅虾,[虾],"[盐,料酒,花椒,辣椒,生姜,干辣椒,花生油,大蒜,小葱,豆瓣酱]",炒,香辣味,初中水平
307,醉蟹,"[螃蟹,酒酿]","[生姜,大蒜,大葱,辣椒,辣椒,花生油,花椒,干辣椒,香叶,八角,醋,酱油,白糖,盐,醋]",腌,咸鲜味,初中水平
308,炒空心菜,[空心菜],"[大蒜,花生油,鸡精,盐,豆瓣酱]",炒,家常味,新手尝试
309,麻辣虾,[河虾],"[淀粉,洋葱,生姜,小葱,花生油,花椒,干辣椒,辣椒酱,盐]",炸,香辣味,初级入门
310,泥鳅汤,[泥鳅],"[生姜,大葱,花生油,料酒,盐,胡椒粉]",煮,家常味,新手尝试
311,春笋炒鸡胗,"[鸡胗,春笋]","[花生油,胡萝卜,生姜,料酒,盐,鸡精]",炒,咸鲜味,未知
312,肉丁炸酱,[猪肉],"[大葱,花生油,番茄酱,白糖,料酒,盐]",炒,酱香味,初级入门
313,鱼香猪肉,"[胡萝卜,猪肉,黑木耳]","[花生油,酱油,淀粉,醋,生姜,大蒜,白糖,盐,大葱,干辣椒,鸡精,料酒]",炒,酸甜味,新手尝试
314,烂糊猪肉,[猪肉],"[圆生菜,花生油,淀粉,料酒,盐]",煮,家常味,新手尝试
315,香椿炒鸡蛋,"[香椿,鸡蛋]","[盐,花生油,胡萝卜]",炒,家常味,初级入门
316,鸡腿蒸南瓜,"[鸡腿,南瓜]","[生姜,大葱,料酒,蚝油,酱油,盐,白糖,胡椒粉,迷迭香,干辣椒]",蒸,咸鲜味,新手尝试
317,土豆炖豌豆,"[土豆,豌豆]","[花生油,大葱,生姜,八角,辣椒,五香粉,酱油,盐]",炖,咸鲜味,新手尝试
318,红烧黄花鱼,[黄花鱼],"[花生油,小葱,生姜,酱油,料酒,盐,蚝油,大蒜,白糖]",烧,家常味,新手尝试
319,毛血旺,"[米粉,鸭血,猪肉,火腿,莴笋,四季豆]","[豆瓣酱,干辣椒,盐,花椒,大蒜,冰糖,大葱,生姜,花生油,胡椒粉]",煮,香辣味,初中水平
320,榨菜烧肉,"[猪肉,榨菜]","[花生油,生姜,大蒜,小葱,花椒,八角,草果,桂皮,香叶,干辣椒,盐,料酒,酱油,冰糖]",炖,咸鲜味,初级入门
321,干锅菜花,[花菜],"[豆瓣酱,干辣椒,猪肉,花椒,白糖,花生油,大蒜,鸡精,盐,小葱,酱油,蚝油]",炒,香辣味,初中水平
322,和风大学芋,[红薯],"[白糖,酱油,醋,芝麻,花生油,盐]",炸,甜味,初级入门
323,猪肉烧萝卜,"[白萝卜,猪肉]","[花生油,酱油,蚝油,白糖,盐,大葱,生姜,干辣椒,料酒]",烧,家常味,新手尝试
324,洋葱炒蛋,"[洋葱,鸡蛋]","[辣椒,花生油,青椒,淀粉,酱油,料酒,盐,上海青,白糖]",炒,咸鲜味,未知
325,无水葱白花生油鸡,[鸡肉],"[花生油,盐,胡椒,料酒,小葱,生姜,香菜,辣椒]",焖,葱白香味,未知
326,把子肉,[猪肉],"[生姜,花生油,小葱,料酒,酱油,白糖,盐,花椒,肉桂,八角,陈皮]",煮,酱香味,初中水平
327,水饺,"[猪肉,小麦面粉]","[五香粉,黄瓜,花生油,酱油,蚝油,生姜,大葱,盐]",煮,家常味,初级入门
328,凉拌三丝,"[包菜,紫甘蓝,粉丝]","[花生油,味精,白糖,醋,蚝油,盐]",拌,家常味,未知
329,西红柿鸡肉汤,"[鸡肉,西红柿]","[盐,丝瓜,大葱,花生油]",煮,酸甜味,未知
330,炸鸡,[鸡肉],"[孜然,花生油,淀粉,盐,白糖,五香粉,大葱,生姜]",炸,家常味,初级入门
331,香辣水煮鱼,[草鱼],"[花生油,干辣椒,盐,生姜,花椒,酱油,大蒜,料酒,鸡精,胡椒]",煮,香辣味,中级掌勺
332,蛤蜊炖蛋,"[鸡蛋,蛤蜊]","[料酒,盐,花生油]",蒸,家常味,新手尝试
333,鲜肉粽子,"[糯米,猪肉]","[五香粉,料酒,酱油,盐,竹叶]",煮,咸鲜味,初级入门
334,木须肉,"[鸡蛋,黑木耳,青椒]","[猪肉,大葱,淀粉,白糖,盐,料酒,酱油,花生油,鸡精]",炒,其他口味,未知
335,蜜汁鸡翅饭,"[鸡翅,大米]","[花生油,番茄酱,香菇,酱油,生姜,蚝油,大葱,盐,淀粉]",煎,咸鲜味,新手尝试
336,酥肉,[猪肉],"[盐,花椒,料酒,胡椒粉,小麦面粉,淀粉,鸡蛋,花生油]",炸,咸鲜味,初级入门
337,炒粉丝,"[粉丝,鸡蛋]","[油菜,香菇,辣椒,花生油,辣椒酱,酱油,蚝油,鸡精,盐]",炒,家常味,新手尝试
338,鲫鱼蒸蛋羹,"[鲫鱼,鸡蛋]","[花生油,盐,韭菜]",蒸,家常味,初中水平
